0.0012420639,-0.012049022,-0.0030943477
9.154275,9.154275,9.154273
-3.000002,11.06784,-3.0000014
9.538278,-0.836503,-3.509436
-3.1486413,-1.578483,6.9057055
7.3030524,-1.7766097,-3.1312773
-2.7825136,6.1593876,-3.845273
-2.3281763,4.678134,-3.777388
3.0690079,-1.1451766,-3.5672438
-3.14716,-1.5326177,6.910886
7.3030524,-1.7766097,-3.1312773
-2.9819427,6.137546,-3.846242
0.28598145,4.818919,-3.6174827
9.051489,-0.8604771,-3.5153873
-3.0485163,-1.5234857,6.9184704
7.7463193,-1.7394375,-3.1291797
-0.061264783,6.432258,-3.786272
0.16909945,4.812569,-3.6270537
8.435234,-0.90177727,-3.5288813
-3.0485163,-1.5234857,6.9184704
